Title,Year,Rating,Rating count,Genre
My Neighbour Totoro,1988,8.2,265829,Animation
The Secret in Their Eyes,2009,8.2,182977,Drama
Raging Bull,1980,8.2,306814,Biography
Lock Stock and Two Smoking Barrels,1998,8.2,515222,Comedy
The Wolf of Wall Street,2013,8.2,1108309,Biography
The Treasure of the Sierra Madre,1948,8.2,108806,Adventure
Judgment at Nuremberg,1961,8.2,65559,Drama
There Will Be Blood,2007,8.2,490545,Drama
Babam ve Oglum,2005,8.3,73771,Drama
Three Billboards Outside Ebbing Missouri,2017,8.2,393985,Comedy
The Gold Rush,1925,8.2,94652,Adventure
Chinatown,1974,8.2,280117,Drama
Dial M for Murder,1954,8.2,148924,Crime
V for Vendetta,2005,8.2,991650,Action
The Seventh Seal,1957,8.2,154100,Drama
No Country for Old Men,2007,8.1,810742,Crime
Inside Out,2015,8.2,577401,Animation
Warrior,2011,8.2,420254,Drama
Shutter Island,2010,8.1,1069814,Mystery
Trainspotting,1996,8.1,614124,Drama
The Elephant Man,1980,8.1,209623,Biography
The Sixth Sense,1999,8.1,879946,Drama
The Thing,1982,8.1,351692,Horror
Room,2015,8.1,344933,Drama
Gone with the Wind,1939,8.1,276708,Drama
Jurassic Park,1993,8.1,824815,Action
Blade Runner,1982,8.1,664230,Action
The Bridge on the River Kwai,1957,8.1,194740,Adventure
Wild Strawberries,1957,8.2,89885,Drama
Finding Nemo,2003,8.1,912417,Animation
The Third Man,1949,8.1,152056,Film-Noir
On the Waterfront,1954,8.1,135172,Crime
Stalker,1979,8.2,107399,Drama
Fargo,1996,8.1,589376,Crime
Kill Bill: Vol. 1,2003,8.1,958498,Action
The Truman Show,1998,8.1,887184,Comedy
Gran Torino,2008,8.1,696458,Drama
Tokyo Story,1953,8.2,48063,Drama
The Deer Hunter,1978,8.1,298269,Drama
Memories of Murder,2003,8.1,120137,Action
Wild Tales,2014,8.1,164172,Comedy
Eskiya,1996,8.3,59830,Crime
Klaus,2019,8.2,66027,Animation
Andhadhun,2018,8.3,59239,Crime
The Big Lebowski,1998,8.1,697167,Comedy
Mary and Max,2009,8.1,157938,Animation
In the Name of the Father,1993,8.1,148914,Biography
Gone Girl,2014,8.1,812001,Drama
Hacksaw Ridge,2016,8.1,403877,Biography
The Grand Budapest Hotel,2014,8.1,671664,Adventure
Le Mans '66,2019,8.1,202143,Action
Persona,1966,8.1,94762,Drama
Mr. Smith Goes to Washington,1939,8.1,102447,Comedy
How to Train Your Dragon,2010,8.1,640363,Animation
Before Sunrise,1995,8.1,254090,Drama
The General,1926,8.1,76352,Action
Catch Me If You Can,2002,8.1,776645,Biography
Sherlock Jr.,1924,8.2,37453,Action
Prisoners,2013,8.1,564566,Crime
12 Years a Slave,2013,8.1,610740,Biography
Cool Hand Luke,1967,8.1,155369,Crime
Mad Max: Fury Road,2015,8.1,833388,Action
Stand by Me,1986,8.1,348569,Adventure
Network,1976,8.1,138553,Drama
The Wages of Fear,1953,8.1,51330,Adventure
Barry Lyndon,1975,8.1,141130,Adventure
Into the Wild,2007,8.1,548309,Adventure
Million Dollar Baby,2004,8.1,611952,Drama
Monty Python's Life of Brian,1979,8.1,352367,Comedy
Platoon,1986,8.1,367164,Drama
Hachi: A Dog's Tale,2009,8.1,239223,Drama
Ben-Hur,1959,8.1,210973,Adventure
Rush,2013,8.1,414010,Biography
The Passion of Joan of Arc,1928,8.1,44046,Biography
Andrei Rublev,1966,8.2,42924,Biography
Logan,2017,8.1,610583,Action
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,727984,Adventure
Dead Poets Society,1989,8.1,399284,Comedy
The 400 Blows,1959,8.1,98534,Crime
Rang De Basanti,2006,8.2,105889,Comedy
Hotel Rwanda,2004,8.1,324530,Biography
Amores Perros,2000,8.1,215147,Drama
Nausicaä of the Valley of the Wind,1984,8.1,138969,Animation
Spotlight,2015,8.1,394475,Biography
The Handmaiden,2016,8.1,96899,Drama
Rebecca,1940,8.1,116448,Drama
Rocky,1976,8.1,496916,Drama
Monsters Inc.,2001,8.0,781178,Animation
Portrait of a Lady on Fire,2019,8.2,32313,Drama
La Haine,1995,8.1,139577,Crime
It Happened One Night,1934,8.1,89133,Comedy
In the Mood for Love,2000,8.1,114916,Drama
Gangs of Wasseypur,2012,8.2,74624,Action
Before Sunset,2004,8.0,221869,Drama
The Princess Bride,1987,8.1,376645,Adventure
The Help,2011,8.1,409531,Drama
Paris Texas,1984,8.1,82178,Drama
Ace in the Hole,1951,8.1,28826,Drama
The Invisible Guest,2016,8.1,113157,Crime
Drishyam,2015,8.2,61846,Crime
The Red Shoes,1948,8.1,28607,Drama
The Terminator,1984,8.0,770831,Action
Lagaan: Once Upon a Time in India,2001,8.1,99337,Adventure
Butch Cassidy and the Sundance Kid,1969,8.0,196034,Biography
Aladdin,1992,8.0,354020,Animation
Akira,1988,8.0,154378,Animation
Kis Uykusu,2014,8.2,41547,Drama
PK,2014,8.1,151105,Comedy
Throne of Blood,1957,8.1,42763,Drama
Fanny and Alexander,1982,8.1,54534,Drama
